City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Abonnema,NG,4.7084,6.7931,73.81,92,100,5.93,overcast clouds
307,Ambon,ID,-3.6954,128.1814,77.14,94,40,3.44,scattered clouds
308,Hobyo,SO,5.3505,48.5268,75.25,84,4,24.47,clear sky
309,Lazaro Cardenas,MX,17.9583,-102.2,82.87,74,100,8.25,overcast clouds
310,Samarai,PG,-10.6167,150.6667,79.21,80,84,16.71,broken clouds
311,Luban,PL,51.1201,15.2877,75.02,77,88,8.75,overcast clouds
312,Qinnan,CN,33.2531,119.9133,80.85,87,6,10.87,clear sky
313,Ust-Maya,RU,60.4167,134.5333,65.52,56,2,6.53,clear sky
314,Novoagansk,RU,61.9449,76.6625,55.72,78,94,5.21,overcast clouds
315,Galesong,ID,-5.3166,119.3661,69.82,77,20,3.6,few clouds
316,Sinnamary,GF,5.3833,-52.95,79.16,85,96,8.16,overcast clouds
317,Arman,RU,59.7,150.1667,64.02,68,9,3.78,clear sky
318,Almaznyy,RU,48.0448,40.045,64.45,72,100,5.86,overcast clouds
319,Bilma,NE,18.6853,12.9164,90.37,14,50,11.05,scattered clouds
320,Salta,AR,-24.7859,-65.4117,73.99,46,40,6.91,scattered clouds
321,Baker City,US,44.7749,-117.8344,90.59,24,0,10.49,clear sky
322,Mandalgovi,MN,45.7625,106.2708,60.67,60,86,7.34,overcast clouds
323,Goderich,CA,43.7501,-81.7165,69.91,56,0,4.61,clear sky
324,Zhigansk,RU,66.7697,123.3711,67.71,56,10,1.97,clear sky
325,Sept-Iles,CA,50.2001,-66.3821,63.12,96,100,6.91,light intensity shower rain
326,Luena,AO,-11.7833,19.9167,56.32,38,0,4.56,clear sky
327,Hvolsvollur,IS,63.7533,-20.2243,50.13,77,98,2.89,overcast clouds
328,Palmer,US,42.1584,-72.3287,85.24,68,75,6.91,broken clouds
329,Vostok,RU,46.4856,135.8833,66.02,90,35,1.86,scattered clouds
330,Nouadhibou,MR,20.931,-17.0347,78.78,73,0,5.75,clear sky
331,Ruteng,ID,-8.6136,120.4721,60.1,83,57,1.45,broken clouds
332,Maniitsoq,GL,65.4167,-52.9,41.23,93,96,14.2,overcast clouds
333,Dong Hoi,VN,17.4833,106.6,77.18,77,78,3.33,broken clouds
334,Syamzha,RU,60.0158,41.0614,57.81,97,81,5.37,broken clouds
335,North Bend,US,43.4065,-124.2243,88.25,79,0,21.85,clear sky
336,Umm Kaddadah,SD,13.6017,26.6876,89.31,39,79,11.79,broken clouds
337,Taltal,CL,-25.4,-70.4833,58.51,83,26,4.97,scattered clouds
338,Sturgeon Bay,US,44.8342,-87.377,75.56,46,75,6.91,broken clouds
339,Harer,ET,9.3094,42.1258,60.17,63,100,12.46,overcast clouds
340,Gurupi,BR,-11.7292,-49.0686,79.36,35,83,5.68,broken clouds
341,Vilyuysk,RU,63.7553,121.6247,72.81,63,6,6.4,clear sky
342,Vanavara,RU,60.34,102.2797,59.95,97,100,6.38,moderate rain
343,Pangody,RU,65.85,74.4859,51.84,69,99,10.98,overcast clouds
344,Contai,IN,21.7786,87.7536,79.99,88,95,6.76,heavy intensity rain
